# ms,joy_x,joy_y,joy_x_step,joy_y_step,pot_data
18785,1922,1896,-1,-2,0
18868,1917,1893,-1,-2,0
18951,1922,1894,-1,-2,0
19034,1923,1889,-1,-2,0
19117,1923,1913,-1,-1,0
19200,1925,1901,-1,-2,0
19283,1925,1900,-1,-2,3002
19366,1921,1899,-1,-2,0
19449,1923,1899,-1,-2,0
19532,1925,1909,-1,-2,0
19615,1925,1902,-1,-2,0
19698,1924,1902,-1,-2,0
19781,1924,1902,-1,-2,0
19864,1924,1895,-1,-2,0
19947,1925,1895,-1,-2,0
20030,1925,1895,-1,-2,0
20113,1920,1895,-1,-2,0
20196,1920,1894,-1,-2,0
20279,1921,1894,-1,-2,0
20362,1917,1894,-1,-2,0
20445,1919,1896,-1,-2,0
20528,1926,1896,-1,-2,0
20611,1942,1896,-1,-2,0
20694,1932,1897,-1,-2,0
20777,1929,1874,-1,-2,0
20860,1919,1887,-1,-2,0
20943,1917,1892,-1,-2,0
21026,1917,1900,-1,-2,0
21109,1924,1898,-1,-2,0
21192,1927,1898,-1,-2,0
21275,1928,1896,-1,-2,0
21358,1928,1896,-1,-2,0
21441,1928,1896,-1,-2,0
21524,1928,1897,-1,-2,0
21607,1928,1897,-1,-2,0
21690,1928,1897,-1,-2,0
21773,1928,1903,-1,-2,0
21856,1928,1909,-1,-2,0
21939,1928,1901,-1,-2,0
22022,1936,1929,-1,-1,0
22105,1928,1905,-1,-2,0
22188,1929,1892,-1,-2,0
22271,1926,1893,-1,-2,0
22354,1924,1894,-1,-2,0
22437,1927,1915,-1,-1,0
22520,1927,1819,-1,-2,0
22603,1927,1887,-1,-2,0
22686,1927,1892,-1,-2,0
22769,1927,1898,-1,-2,0
22852,1912,1888,-1,-2,0
22935,1932,1929,-1,-1,0
23018,1929,1905,-1,-2,0
23101,1925,1902,-1,-2,0
23184,1928,1888,-1,-2,0
23267,1928,1890,-1,-2,0
23350,1927,1893,-1,-2,0
23433,1927,1894,-1,-2,0
23516,1924,1895,-1,-2,0
23599,1939,1910,-1,-2,0
23682,1935,1904,-1,-2,0
23765,1931,1903,-1,-2,0
23848,1926,1903,-1,-2,0
23931,1926,1898,-1,-2,0
24014,1927,1883,-1,-2,0
24097,1927,1881,-1,-2,0
24180,1909,1890,-2,-2,0
24263,1920,1894,-1,-2,0
24346,1922,1899,-1,-2,0
24429,1924,1907,-1,-2,0
24512,1924,1900,-1,-2,0
24595,1924,1899,-1,-2,0
24678,1926,1894,-1,-2,0
24761,1916,1877,-1,-2,0
24844,1924,1894,-1,-2,0
24927,1924,1897,-1,-2,0
25010,1952,1892,-1,-2,0
25093,1935,1894,-1,-2,0
25176,1929,1894,-1,-2,0
25259,1929,1903,-1,-2,0
25342,1926,1899,-1,-2,0
25425,1933,1918,-1,-1,0
25508,1930,1905,-1,-2,0
25591,1930,1903,-1,-2,0
25674,1930,1903,-1,-2,0
25757,1929,1902,-1,-2,0
25840,1916,1898,-1,-2,0
25923,1921,1887,-1,-2,0
26006,1923,1887,-1,-2,0
26089,1926,1893,-1,-2,0
26172,1926,1902,-1,-2,0
26255,1926,1902,-1,-2,0
26338,1926,1901,-1,-2,0
26421,1926,1884,-1,-2,0
26504,1926,1897,-1,-2,0
26587,1926,1898,-1,-2,0
26670,1914,1898,-1,-2,0
26753,1924,1889,-1,-2,0
26836,1926,1894,-1,-2,0
26919,1927,1912,-1,-1,0
27002,1926,1900,-1,-2,0
27085,1926,1898,-1,-2,0
27168,1926,1898,-1,-2,0
27251,1926,1898,-1,-2,0
27334,1926,1898,-1,-2,0
27417,1920,1898,-1,-2,0
27500,1971,1898,-1,-2,0
27583,1926,1898,-1,-2,0
27666,1914,1898,-1,-2,0
27749,1916,1898,-1,-2,0
27832,1933,1896,-1,-2,0
27915,1927,1896,-1,-2,0
27998,1924,1896,-1,-2,0
28081,1934,1896,-1,-2,0
28164,1933,1896,-1,-2,0
28247,1928,1896,-1,-2,4094
28330,1929,1896,-1,-2,3082
28413,1929,1896,-1,-2,0
28496,1929,1896,-1,-2,0
28579,1929,1896,-1,-2,0
28662,1929,1896,-1,-2,0
28745,1929,1896,-1,-2,0
28828,1919,1896,-1,-2,0
28911,1921,1896,-1,-2,0
28994,1924,1902,-1,-2,0
29077,1927,1902,-1,-2,0
29160,1918,1900,-1,-2,0
29243,1923,1897,-1,-2,0
29326,1925,1897,-1,-2,4094
29409,1925,1897,-1,-2,0
29492,1926,1895,-1,-2,0
29575,1926,1910,-1,-2,0
29658,1928,1908,-1,-2,0
29741,1928,1901,-1,-2,0
29824,1928,1901,-1,-2,0
29907,1926,1897,-1,-2,0
29990,1926,1897,-1,-2,0
30073,1926,1897,-1,-2,0
30156,1926,1904,-1,-2,0
30239,1925,1902,-1,-2,0
30322,1928,1901,-1,-2,0
30405,1928,1901,-1,-2,0
30488,1928,1898,-1,-2,0
30571,1928,1891,-1,-2,0
30654,1928,1894,-1,-2,0
30737,1928,1894,-1,-2,0
30820,1928,1896,-1,-2,0
30903,1928,1919,-1,-1,0
30986,1920,1830,-1,-2,0
31069,1921,1890,-1,-2,0
31152,1924,1890,-1,-2,0
31235,1924,1893,-1,-2,0
31318,1924,1894,-1,-2,0
31401,1922,1894,-1,-2,0
31483,1924,1895,-1,-2,0
31566,1927,1895,-1,-2,0
31649,1927,1894,-1,-2,0
31732,1927,1876,-1,-2,0
31815,1922,1891,-1,-2,0
31898,1922,1892,-1,-2,0
31981,1922,1881,-1,-2,0
32064,1922,1889,-1,-2,0
32147,1923,1891,-1,-2,0
32230,1926,1884,-1,-2,0
32313,1929,1893,-1,-2,0
32396,1964,1897,-1,-2,0
32479,1938,1897,-1,-2,0
32562,1939,1897,-1,-2,0
32645,1924,1899,-1,-2,0
32728,1924,1899,-1,-2,0
32811,1921,1899,-1,-2,0
32894,1923,1899,-1,-2,0
32977,1924,1904,-1,-2,0
33060,1926,1902,-1,-2,0
33143,1914,1901,-1,-2,0
33226,1917,1898,-1,-2,0
33309,1930,2221,-1,1,0
33392,1941,2752,-1,5,0
33475,1935,3472,-1,10,0
33558,1932,4087,-1,14,0
33641,1931,4092,-1,14,0
33724,1931,4094,-1,14,0
33807,1927,4094,-1,14,0
33890,1927,4094,-1,14,0
33973,1921,4094,-1,14,0
34056,1922,4094,-1,14,0
34139,1923,4094,-1,14,0
34222,1924,4094,-1,14,0
34305,1924,4094,-1,14,0
34388,1924,4094,-1,14,0
34471,1924,4094,-1,14,0
34554,1925,4094,-1,14,0
34637,1925,4094,-1,14,0
34720,1925,4094,-1,14,0
34803,1925,4094,-1,14,0
34886,1918,4094,-1,14,0
34969,1921,4094,-1,14,0
35052,1918,3674,-1,11,0
35135,1924,3592,-1,11,0
35218,1924,3574,-1,11,0
35301,1926,3203,-1,8,0
35384,1924,2853,-1,5,0
35467,1930,2752,-1,5,0
35550,1930,2346,-1,2,0
35633,1930,1891,-1,-2,0
35716,1928,1893,-1,-2,0
35799,1928,1898,-1,-2,0
35882,1927,1898,-1,-2,0
35965,1927,1881,-1,-2,0
36048,1921,1888,-1,-2,0
36131,1935,1891,-1,-2,0
36214,1933,1892,-1,-2,0
36297,1932,1894,-1,-2,0
36380,1930,1894,-1,-2,0
36463,1930,1895,-1,-2,0
36546,1930,1896,-1,-2,0
36629,1953,1896,-1,-2,0
36712,1927,1893,-1,-2,0
36795,1927,1893,-1,-2,0
36878,1927,1893,-1,-2,0
36961,1927,1894,-1,-2,0
37044,1924,1895,-1,-2,0
37127,1924,1893,-1,-2,0
37210,1927,1900,-1,-2,0
37293,1927,1901,-1,-2,0
37376,1927,1901,-1,-2,0
37459,1928,1893,-1,-2,0
37542,1928,1893,-1,-2,0
37625,1928,1893,-1,-2,0
37708,1927,1886,-1,-2,0
37791,1927,1820,-1,-2,0
37874,1923,1513,-1,-4,0
37957,1894,1177,-2,-7,0
38040,1920,607,-1,-11,0
38123,1885,43,-2,-15,0
38206,1915,4,-1,-15,0
38289,1919,0,-1,-15,0
38372,1919,0,-1,-15,0
38455,1926,0,-1,-15,0
38538,1928,0,-1,-15,0
38621,1928,0,-1,-15,0
38704,1928,0,-1,-15,0
38787,1928,0,-1,-15,0
38870,1928,0,-1,-15,0
38953,1947,0,-1,-15,0
39036,1937,0,-1,-15,0
39119,1931,0,-1,-15,0
39202,1931,0,-1,-15,0
39285,1935,0,-1,-15,0
39368,1925,0,-1,-15,0
39451,1925,0,-1,-15,0
39534,1927,0,-1,-15,0
39617,1927,0,-1,-15,0
39700,1922,0,-1,-15,0
39783,1924,0,-1,-15,0
39866,1926,451,-1,-12,0
39949,1920,1465,-1,-5,0
40032,1920,1897,-1,-2,0
40115,1920,1887,-1,-2,0
40198,1922,1872,-1,-2,0
40281,1923,1905,-1,-2,0
40364,1926,1905,-1,-2,0
40447,1926,1905,-1,-2,0
40530,1926,1900,-1,-2,0
40613,1928,1903,-1,-2,0
40696,1929,1901,-1,-2,0
40779,1920,1899,-1,-2,0
40862,1923,1899,-1,-2,0
40945,1925,1891,-1,-2,0
41028,1926,1893,-1,-2,0
41111,1926,1893,-1,-2,0
41194,1928,1895,-1,-2,0
41277,1929,1904,-1,-2,0
41360,1929,1903,-1,-2,0
41443,1918,1900,-1,-2,0
41526,2437,1900,2,-2,0
41609,4094,1899,14,-2,0
41692,4094,1899,14,-2,0
41775,4094,1899,14,-2,0
41858,4094,1895,14,-2,0
41941,4094,1891,14,-2,0
42024,4094,1888,14,-2,0
42107,4094,1890,14,-2,0
42190,4094,1892,14,-2,0
42273,4094,1892,14,-2,0
42355,4094,1943,14,-1,0
42438,4094,1901,14,-2,0
42521,4094,1900,14,-2,0
42604,4094,1898,14,-2,0
42687,4094,1898,14,-2,0
42770,4094,1898,14,-2,0
42853,4094,1920,14,-1,0
42936,4094,1909,14,-2,0
43019,4094,1889,14,-2,0
43102,4094,1892,14,-2,0
43185,4094,1894,14,-2,0
43268,4094,1893,14,-2,0
43351,4094,1895,14,-2,0
43434,2832,1896,5,-2,0
43517,1928,1876,-1,-2,0
43600,1929,1883,-1,-2,0
43683,1926,1890,-1,-2,0
43766,1926,1893,-1,-2,0
43849,1925,1891,-1,-2,0
43932,1923,1892,-1,-2,0
44015,1917,1893,-1,-2,0
44098,1921,1895,-1,-2,0
44181,1923,1889,-1,-2,0
44264,1924,1894,-1,-2,0
44347,1924,1895,-1,-2,0
44430,1924,1886,-1,-2,0
