--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
871,94,49,94,46,-8,-8,0,0,0
953,0,0,0,0,-8,-8,0,0,0
1035,0,0,0,0,-8,-8,0,0,0
1117,0,0,0,0,-8,-8,0,0,0
1200,0,0,0,0,-8,-8,0,0,0
1282,0,0,0,0,-8,-8,0,0,0
1364,0,0,0,0,-8,-8,0,0,0
1446,5,0,5,0,-8,-8,0,0,0
1528,766,1690,766,1690,-6,-2,0,0,0
1610,132,61,132,58,-8,-8,0,0,0
1693,0,0,0,0,-8,-8,0,0,0
1775,0,0,0,0,-8,-8,0,0,0
1857,0,0,0,0,-8,-8,0,0,0
1939,0,0,0,0,-8,-8,0,0,0
2021,66,80,66,80,-8,-8,0,0,0
2103,0,0,0,0,-8,-8,0,0,0
2185,2,0,0,0,-8,-8,0,0,0
2267,0,0,0,0,-8,-8,0,0,0
2349,115,55,116,52,-8,-8,0,0,0
2431,12,0,9,0,-8,-8,0,0,0
2513,0,0,0,0,-8,-8,0,0,0
2595,0,0,0,0,-8,-8,0,0,0
2677,0,0,0,0,-8,-8,0,0,0
2759,0,0,0,0,-8,-8,0,0,0
2841,12,53,0,53,-8,-8,0,0,0
2923,22,0,22,0,-8,-8,0,0,0
3006,0,0,0,0,-8,-8,0,0,0
3088,1331,2511,1331,2511,-3,1,0,0,0
3170,25,16,22,15,-8,-8,0,0,0
3252,0,0,0,0,-8,-8,0,0,0
3334,0,0,0,0,-8,-8,0,0,0
3416,0,0,0,0,-8,-8,0,0,0
3498,0,0,0,0,-8,-8,0,0,0
3580,0,0,0,0,-8,-8,0,0,0
3662,0,0,0,0,-8,-8,0,0,0
3744,0,0,0,0,-8,-8,0,0,0
3826,103,16,100,15,-8,-8,0,0,0
3908,135,59,133,57,-8,-8,0,0,0
3990,6,0,3,0,-8,-8,0,0,0
4072,0,0,0,0,-8,-8,0,0,0
4154,0,0,0,0,-8,-8,0,0,0
4236,0,0,0,0,-8,-8,0,0,0
4319,0,0,0,0,-8,-8,0,0,0
4401,138,341,138,341,-8,-7,0,0,0
4483,3,0,0,0,-8,-8,0,0,0
4565,0,0,0,0,-8,-8,0,0,0
4647,1149,2174,1149,2174,-4,0,0,0,0
4729,16,0,14,0,-8,-8,0,0,0
4811,0,0,0,0,-8,-8,0,0,0
4893,0,0,0,0,-8,-8,0,0,0
4975,0,0,0,0,-8,-8,0,0,0
5057,0,0,0,0,-8,-8,0,0,0
5139,0,0,0,0,-8,-8,0,0,0
5221,24,0,11,0,-8,-8,0,0,0
5303,1,0,0,0,-8,-8,0,0,0
5385,114,39,116,36,-8,-8,0,0,0
5467,96,51,98,48,-8,-8,0,0,0
5549,0,0,0,0,-8,-8,0,0,0
5631,0,0,0,0,-8,-8,0,0,0
5713,0,0,0,0,-8,-8,0,0,0
5795,0,0,0,0,-8,-8,0,0,0
5877,0,0,0,0,-8,-8,0,0,0
5959,0,0,0,0,-8,-8,0,0,0
6041,0,0,0,0,-8,-8,0,0,0
6123,10,0,7,0,-8,-8,0,0,0
6205,868,1406,868,1406,-5,-3,0,0,0
6287,27,13,29,11,-8,-8,0,0,0
6369,0,0,0,0,-8,-8,0,0,0
6451,0,0,0,0,-8,-8,0,0,0
6533,0,0,0,0,-8,-8,0,0,0
6615,0,0,0,0,-8,-8,0,0,0
6697,0,0,0,0,-8,-8,0,0,0
6779,0,0,0,0,-8,-8,0,0,0
6861,3,0,2,0,-8,-8,0,0,0
6943,0,0,0,0,-8,-8,0,0,0
7025,123,54,120,51,-8,-8,0,0,0
7107,11,0,8,0,-8,-8,0,0,0
7189,0,0,0,0,-8,-8,0,0,0
7271,0,0,0,0,-8,-8,0,0,0
7353,0,0,0,0,-8,-8,0,0,0
7435,0,0,0,0,-8,-8,0,0,0
7517,0,0,0,0,-8,-8,0,0,0
7599,14,0,12,0,-8,-8,0,0,0
7681,4,0,1,0,-8,-8,0,0,0
7763,336,418,336,418,-7,-7,0,0,0
7845,95,53,97,52,-8,-8,0,0,0
7927,0,0,0,0,-8,-8,0,0,0
8009,0,0,0,0,-8,-8,0,0,0
8091,0,0,0,0,-8,-8,0,0,0
8173,0,0,0,0,-8,-8,0,0,0
8255,0,0,0,0,-8,-8,0,0,0
8337,0,0,0,0,-8,-8,0,0,0
8419,0,0,0,0,-8,-8,0,0,0
8501,0,0,0,0,-8,-8,0,0,0
8583,126,62,128,59,-8,-8,0,0,0
8665,22,6,22,6,-8,-8,0,0,0
8747,0,0,0,0,-8,-8,0,0,0
8829,0,0,0,0,-8,-8,0,0,0
8911,0,0,0,0,-8,-8,0,0,0
8993,0,0,0,0,-8,-8,0,0,0
9075,0,0,0,0,-8,-8,0,0,0
9157,0,0,0,0,-8,-8,0,0,0
9239,1,0,0,0,-8,-8,0,0,0
9321,70,0,67,0,-8,-8,0,0,0
9403,137,64,134,59,-8,-8,0,0,0
9485,1,0,0,0,-8,-8,0,0,0
9567,0,0,0,0,-8,-8,0,0,0
9649,0,0,0,0,-8,-8,0,0,0
9731,0,0,0,0,-8,-8,0,0,0
9813,0,0,0,0,-8,-8,0,0,0
9895,0,0,0,0,-8,-8,0,0,0
9977,3,0,2,0,-8,-8,0,0,0
10059,674,1557,674,1557,-6,-2,0,0,0
10141,129,53,127,50,-8,-8,0,0,0
10223,64,41,64,41,-8,-8,0,0,0
10305,0,0,0,0,-8,-8,0,0,0
10387,0,0,0,0,-8,-8,0,0,0
10469,0,0,0,0,-8,-8,0,0,0
10551,0,0,0,0,-8,-8,0,0,0
10633,0,0,0,0,-8,-8,0,0,0
10715,0,0,0,0,-8,-8,0,0,0
10797,3,0,2,0,-8,-8,0,0,0
10879,0,0,0,0,-8,-8,0,0,0
10961,109,54,109,51,-8,-8,0,0,0
11043,11,2,13,0,-8,-8,0,0,0
11125,0,0,0,0,-8,-8,0,0,0
11207,0,0,0,0,-8,-8,0,0,0
11289,0,0,0,0,-8,-8,0,0,0
11371,0,0,0,0,-8,-8,0,0,0
11453,0,0,0,0,-8,-8,0,0,0
11535,0,0,0,0,-8,-8,0,0,0
11617,591,1177,591,1177,-6,-4,0,0,0
11699,119,31,116,29,-8,-8,0,0,0
11781,118,59,118,59,-8,-8,0,0,0
11863,528,1661,528,1661,-6,-2,0,0,0
11945,0,0,0,0,-8,-8,0,0,0
12027,0,0,0,0,-8,-8,0,0,0
12109,0,0,0,0,-8,-8,0,0,0
12190,0,0,0,0,-8,-8,0,0,0
12273,0,0,0,0,-8,-8,0,0,0
12356,0,0,0,0,-8,-8,0,0,0
12439,114,43,114,43,-8,-8,0,0,0
12522,6,0,6,0,-8,-8,0,0,0
12605,0,0,0,0,-8,-8,0,0,0
12688,0,0,0,0,-8,-8,0,0,0
12771,0,0,0,0,-8,-8,0,0,0
12854,0,0,0,0,-8,-8,0,0,0
12937,0,0,0,0,-8,-8,0,0,0
13020,102,48,118,56,-8,-8,0,0,0
13103,0,0,0,0,-8,-8,0,0,0
13186,0,0,0,0,-8,-8,0,0,0
13269,0,0,0,0,-8,-8,0,0,0
13352,0,0,0,0,-8,-8,0,0,0
13435,3,0,0,0,-8,-8,176,176,4
13518,1217,1433,1217,1433,-4,-3,573,573,13
13601,31,55,31,55,-8,-8,908,908,22
13684,0,0,0,0,-8,-8,1239,1239,30
13767,0,0,0,0,-8,-8,1502,1502,36
13850,0,0,0,0,-8,-8,1689,1689,41
13933,34,38,34,38,-8,-8,1834,1834,44
14016,13,87,11,87,-8,-8,1925,1925,47
14099,96,150,94,150,-8,-8,2043,2043,49
14182,0,69,0,69,-8,-8,2175,2175,53
14265,0,5,0,2,-8,-8,2322,2322,56
14348,0,0,0,0,-8,-8,2480,2477,60
14431,0,44,0,44,-8,-8,2693,2693,65
14514,25,123,25,123,-8,-8,2933,2933,71
14597,141,214,141,214,-8,-8,3217,3217,78
14680,35,190,35,190,-8,-8,3547,3547,86
14763,0,116,0,116,-8,-8,3949,3949,96
14846,0,58,0,0,-8,-8,4095,4094,99
14929,0,111,0,111,-8,-8,4095,4094,99
15012,64,176,64,176,-8,-8,4095,4094,99
15095,59,238,59,238,-8,-8,4095,4094,99
15178,2224,2735,2224,2735,0,2,4095,4094,99
15261,21,196,21,196,-8,-8,4095,4094,99
15344,0,95,0,0,-8,-8,4095,4094,99
15427,0,82,0,82,-8,-8,4095,4094,99
15510,0,128,0,128,-8,-8,4095,4094,99
15593,42,197,42,197,-8,-8,4095,4094,99
15676,128,263,128,263,-8,-7,4095,4094,99
15759,0,209,0,209,-8,-8,4095,4094,99
15842,0,139,0,139,-8,-8,4095,4094,99
15925,0,75,0,75,-8,-8,4095,4094,99
16008,0,110,0,110,-8,-8,4095,4094,99
16091,47,165,47,165,-8,-8,4095,4094,99
16174,23,208,23,208,-8,-8,4095,4094,99
16257,119,277,119,277,-8,-7,4095,4094,99
16340,10,193,7,193,-8,-8,4095,4094,99
16423,0,107,0,107,-8,-8,4095,4094,99
16506,0,80,0,80,-8,-8,4095,4094,99
16589,279,495,279,495,-7,-7,4095,4094,99
16672,41,199,0,199,-8,-8,4095,4094,99
16755,158,278,158,278,-8,-7,4095,4094,99
16838,10,210,12,210,-8,-8,4095,4094,99
16921,0,133,0,133,-8,-8,4095,4094,99
17004,0,66,0,66,-8,-8,4095,4094,99
17087,0,103,0,103,-8,-8,4095,4094,99
17170,48,176,48,176,-8,-8,4095,4094,99
17253,24,210,0,210,-8,-8,4095,4094,99
17336,78,260,78,260,-8,-7,4095,4094,99
17419,0,37,0,37,-8,-8,4095,4094,99
17502,0,125,0,125,-8,-8,4095,4094,99
