--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
207207,1927,1901,-120,-149,-1,-2,4095,99
207290,1931,1891,-124,-154,-1,-2,4095,99
207373,1931,1897,-108,-142,-1,-2,4095,99
207456,1927,1899,-114,-145,-1,-2,4095,99
207539,1927,1853,-116,-179,-1,-2,4095,99
207622,1920,1895,-119,-167,-1,-2,4095,99
207705,1941,1901,-117,-159,-1,-2,4095,99
207788,1925,1903,-117,-153,-1,-2,4095,99
207871,1936,1898,-117,-151,-1,-2,4095,99
207954,1931,1890,-117,-151,-1,-2,4095,99
208037,1921,1899,-119,-155,-1,-2,4095,99
208120,1927,1901,-120,-152,-1,-2,4095,99
208203,1964,1903,-102,-159,-1,-2,4095,99
208286,1927,1898,-114,-154,-1,-2,4095,99
208369,1926,1899,-116,-151,-1,-2,4095,99
208452,1962,1899,-103,-153,-1,-2,4095,99
208535,1925,1900,-115,-156,-1,-2,4095,99
208618,1930,1900,-117,-155,-1,-2,4095,99
208701,1915,1897,-127,-154,-1,-2,4095,99
208784,1927,1894,-126,-162,-1,-2,4095,99
208867,1924,1898,-124,-147,-1,-2,4095,99
208950,1936,1895,-121,-147,-1,-2,4095,99
209033,1927,1899,-121,-140,-1,-2,4095,99
209116,1935,1894,-121,-157,-1,-2,4095,99
209199,1922,1903,-121,-146,-1,-2,4095,99
209282,1929,1894,-122,-147,-1,-2,4095,99
209365,1924,1893,-110,-159,-1,-2,4095,99
209448,1929,1899,-115,-155,-1,-2,4095,99
209531,1937,1899,-118,-155,-1,-2,4095,99
209614,1927,1901,-118,-153,-1,-2,4095,99
209697,1922,1899,-116,-151,-1,-2,4095,99
209780,1930,1902,-117,-156,-1,-2,4095,99
209863,1936,1900,-126,-140,-1,-2,4095,99
209946,1927,1899,-123,-148,-1,-2,4095,99
210029,1940,1859,-119,-172,-1,-2,4095,99
210112,1903,1898,-129,-158,-1,-2,4095,99
210195,1900,1895,-134,-147,-1,-2,4095,99
210278,1925,1898,-129,-147,-1,-2,4095,99
210361,1917,1905,-126,-151,-1,-2,4095,99
