--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Macroboard V1: Advertising Started...
# Sensor debug mode enabled
# CSV columns:
# ms,joy_x_raw,joy_y_raw,joy_x_centered,joy_y_centered,joy_x_step,joy_y_step,pot_raw,pot_pct
10254,1936,1902,-119,-145,-1,-2,4095,99
10337,1929,1901,-119,-145,-1,-2,4095,99
10420,1935,1897,-120,-162,-1,-2,4095,99
10503,1920,1907,-120,-148,-1,-2,4095,99
10586,1931,1901,-120,-148,-1,-2,4095,99
10669,1905,1898,-129,-153,-1,-2,4095,99
10752,1936,1902,-122,-156,-1,-2,4095,99
10835,1963,1891,-103,-158,-1,-2,4095,99
10918,1938,1901,-105,-154,-1,-2,4095,99
11001,1930,1895,-117,-153,-1,-2,4095,99
11084,1933,1897,-117,-153,-1,-2,4095,99
11167,1936,1898,-119,-153,-1,-2,4095,99
11250,1904,1898,-129,-157,-1,-2,4095,99
11333,1921,1888,-129,-156,-1,-2,4095,99
11416,1931,1843,-115,-189,-1,-2,4095,99
11499,1931,1898,-127,-160,-1,-2,4095,99
11582,1919,1897,-115,-155,-1,-2,4095,99
11665,1936,1899,-118,-159,-1,-2,4095,99
11748,1934,1878,-118,-154,-1,-2,4095,99
11831,1920,1893,-118,-154,-1,-2,4095,99
11914,1918,1903,-155,-153,-2,-2,4095,99
11997,1930,1894,-124,-153,-1,-2,4095,99
12080,1926,1895,-124,-167,-1,-2,4095,99
12163,1921,1887,-124,-159,-1,-2,4095,99
12246,1929,1905,-124,-152,-1,-2,4095,99
12329,1929,1902,-117,-150,-1,-2,4095,99
12412,1930,1890,-122,-150,-1,-2,4095,99
12495,1929,1899,-128,-152,-1,-2,4095,99
12578,1927,1898,-124,-152,-1,-2,4095,99
12661,1927,1875,-124,-160,-1,-2,4095,99
12744,1904,1893,-130,-155,-1,-2,4095,99
12827,1919,1891,-125,-155,-1,-2,4095,99
12910,1927,1901,-143,-149,-2,-2,4095,99
12993,1926,1898,-128,-134,-1,-1,4095,99
13076,1888,1886,-144,-150,-2,-2,4095,99
13159,1928,1904,-131,-157,-1,-2,4095,99
13242,1936,1903,-123,-153,-1,-2,4095,99
13325,1926,1893,-123,-153,-1,-2,4095,99
13408,1926,1876,-118,-159,-1,-2,4095,99
13491,1929,1901,-106,-156,-1,-2,4095,99
13574,1926,1887,-114,-153,-1,-2,4095,99
13657,1922,1901,-118,-151,-1,-2,4095,99
13740,1927,1899,-119,-151,-1,-2,4095,99
13823,1946,1900,-118,-156,-1,-2,4095,99
13906,1926,1890,-118,-148,-1,-2,4095,99
13989,1935,1917,-118,-149,-1,-2,4095,99
14072,1931,1936,-120,-130,-1,-1,4095,99
14155,1927,1900,-120,-141,-1,-2,4095,99
14238,1938,1899,-123,-145,-1,-2,4095,99
14321,1924,1899,-120,-150,-1,-2,4095,99
14404,1920,1882,-122,-154,-1,-2,4095,99
14487,1936,1886,-121,-154,-1,-2,4095,99
14570,1920,1860,-121,-177,-1,-2,4095,99
14653,1930,1904,-122,-156,-1,-2,4095,99
14736,1931,1899,-128,-161,-1,-2,4095,99
14819,1918,1897,-122,-158,-1,-2,4095,99
14902,1933,1889,-122,-156,-1,-2,4095,99
14985,1930,1914,-122,-150,-1,-2,4095,99
